日期,本级别单位净值
2025-12-05,0.9107
2025-12-10,0.8967
2025-12-12,0.8948
2025-12-17,0.8844
2025-12-19,0.8998
2025-12-24,0.9209
2025-12-26,0.9214
2025-12-31,0.9315
2026-01-07,1.0004
2026-01-09,0.991
2026-01-14,1.015
2026-01-16,0.9985
2026-01-21,0.9737
2026-01-23,1.0211
2026-01-28,1.0072
2026-01-30,1.001
2026-02-04,0.9894
2026-02-06,0.9915
2026-02-11,0.9848
2026-02-13,0.9707
2026-02-24,0.967
2026-02-25,0.9605
2026-02-27,0.956
2026-03-04,0.93535786
2026-03-06,0.8977
2026-03-11,0.92599867
2026-03-13,0.9697
2026-03-18,0.9853
2026-03-20,0.9982
2026-03-25,1.0019
2026-03-27,1.0068
2026-04-01,0.9776
2026-04-03,0.9622
2026-04-08,0.9525
2026-04-10,0.9109
2026-04-15,0.9055
2026-04-17,0.9131
2026-04-22,0.9128
2026-04-24,0.9057
2026-04-29,0.8907
2026-04-30,0.891
2026-05-06,0.9096
2026-05-08,0.942
2026-05-13,0.9438
2026-05-15,0.9426
2026-05-20,0.9162
2026-05-22,0.9278
2026-05-27,0.921
2026-05-29,0.924
2026-06-03,0.8998
